YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Gender,Race,Age,Education,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2010,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Female,All Races,All Ages,High School,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9
2010,AR,Arkansas,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,Overall,All Races,All Ages,Middle School,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2007,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Overall,All Races,All Ages,High School,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS09,9
2001,GA,Georgia,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Unknown,%,Percentage,Female,All Races,All Ages,Middle School,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6
2008,MN,Minnesota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Overall,All Races,All Ages,Middle School,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2004,IA,Iowa,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Unknown,%,Percentage,Overall,All Races,All Ages,Middle School,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1
2009,NC,North Carolina,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Unknown,%,Percentage,Overall,All Races,All Ages,High School,105BEH,170CES,1GEN,8AGE,6RAC,2EDU,YTS01,1
2002,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Overall,All Races,All Ages,Middle School,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2002,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,Female,All Races,All Ages,Middle School,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2007,NH,New Hampshire,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Male,All Races,All Ages,High School,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2006,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Female,All Races,All Ages,Middle School,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10
2006,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Overall,All Races,All Ages,Middle School,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2009,MS,Mississippi,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Unknown,%,Percentage,Male,All Races,All Ages,High School,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2010,IN,Indiana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Female,All Races,All Ages,Middle School,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11
2004,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Male,All Races,All Ages,Middle School,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
2002,NC,North Carolina,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Unknown,%,Percentage,Female,All Races,All Ages,Middle School,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6
2007,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,Female,All Races,All Ages,Middle School,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2000,TN,Tennessee,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Overall,All Races,All Ages,Middle School,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2003,UT,Utah,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Unknown,%,Percentage,Male,All Races,All Ages,Middle School,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2
2000,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Male,All Races,All Ages,High School,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8
2004,NJ,New Jersey,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Unknown,%,Percentage,Male,All Races,All Ages,High School,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5
2011,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Male,All Races,All Ages,High School,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8
2002,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Male,All Races,All Ages,Middle School,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2013,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Male,All Races,All Ages,Middle School,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2014,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Overall,All Races,All Ages,Middle School,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
2013,HI,Hawaii,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Female,All Races,All Ages,Middle School,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11
2013,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Male,All Races,All Ages,Middle School,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
2008,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Female,All Races,All Ages,High School,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS08,8
2007,UT,Utah,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Male,All Races,All Ages,High School,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2003,RI,Rhode Island,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Female,All Races,All Ages,High School,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
2000,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Female,All Races,All Ages,Middle School,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2002,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Male,All Races,All Ages,Middle School,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2000,TN,Tennessee,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Female,All Races,All Ages,Middle School,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10
2016,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Female,All Races,All Ages,High School,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10
2006,MS,Mississippi,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Unknown,%,Percentage,Female,All Races,All Ages,Middle School,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2002,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Overall,All Races,All Ages,Middle School,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2009,SC,South Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Overall,All Races,All Ages,High School,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2002,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Female,All Races,All Ages,Middle School,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2009,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Female,All Races,All Ages,High School,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS09,9
2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Male,All Races,All Ages,Middle School,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2012,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Male,All Races,All Ages,High School,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11
2005,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Female,All Races,All Ages,Middle School,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2013,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Female,All Races,All Ages,Middle School,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2001,ID,Idaho,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Male,All Races,All Ages,Middle School,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2003,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,Overall,All Races,All Ages,High School,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2001,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Male,All Races,All Ages,High School,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2009,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Male,All Races,All Ages,High School,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2004,WI,Wisconsin,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Unknown,%,Percentage,Female,All Races,All Ages,Middle School,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2009,SC,South Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Overall,All Races,All Ages,Middle School,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
2013,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,Overall,All Races,All Ages,Middle School,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2000,TX,Texas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Overall,All Races,All Ages,High School,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2000,VT,Vermont,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Unknown,%,Percentage,Overall,All Races,All Ages,Middle School,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1
2000,CA,California,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Female,All Races,All Ages,High School,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
2005,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,Overall,All Races,All Ages,High School,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2000,WV,West Virginia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Male,All Races,All Ages,Middle School,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2000,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Overall,All Races,All Ages,Middle School,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
1999,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Male,All Races,All Ages,Middle School,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2005,AR,Arkansas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Female,All Races,All Ages,Middle School,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10
2002,OH,Ohio,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Male,All Races,All Ages,Middle School,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2006,WI,Wisconsin,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Unknown,%,Percentage,Female,All Races,All Ages,High School,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2002,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Unknown,%,Percentage,Female,All Races,All Ages,High School,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2008,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Female,All Races,All Ages,Middle School,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2002,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Male,All Races,All Ages,High School,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9
2009,NH,New Hampshire,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Overall,All Races,All Ages,High School,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS11,11
2004,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Female,All Races,All Ages,High School,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10
2005,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,Female,All Races,All Ages,High School,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2011,WV,West Virginia,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Unknown,%,Percentage,Male,All Races,All Ages,Middle School,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2
2000,MD,Maryland,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Female,All Races,All Ages,Middle School,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS12,12
2005,WV,West Virginia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Female,All Races,All Ages,High School,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12
2012,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Overall,All Races,All Ages,High School,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS10,10
2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,Overall,All Races,All Ages,High School,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2007,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Overall,All Races,All Ages,High School,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
1999,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Overall,All Races,All Ages,Middle School,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS09,9
2002,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,Overall,All Races,All Ages,High School,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2010,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,Male,All Races,All Ages,High School,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2016,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Overall,All Races,All Ages,Middle School,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
2003,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Overall,All Races,All Ages,Middle School,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS10,10
2003,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Female,All Races,All Ages,Middle School,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS12,12
2002,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Female,All Races,All Ages,High School,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12
2012,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Unknown,%,Percentage,Male,All Races,All Ages,High School,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5
2004,NC,North Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Male,All Races,All Ages,Middle School,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2004,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Male,All Races,All Ages,Middle School,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS11,11
2009,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Female,All Races,All Ages,High School,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
2002,MD,Maryland,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Overall,All Races,All Ages,High School,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS09,9
2001,ME,Maine,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Female,All Races,All Ages,Middle School,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2013,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,Male,All Races,All Ages,High School,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8
2013,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,Overall,All Races,All Ages,Middle School,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS09,9
2006,IL,Illinois,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Female,All Races,All Ages,Middle School,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10
2003,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Female,All Races,All Ages,High School,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10
2003,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Overall,All Races,All Ages,Middle School,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2000,KY,Kentucky,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,Overall,All Races,All Ages,High School,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2008,PA,Pennsylvania,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Overall,All Races,All Ages,Middle School,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2003,UT,Utah,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Male,All Races,All Ages,Middle School,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS11,11
2011,SC,South Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,Male,All Races,All Ages,Middle School,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2011,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Unknown,%,Percentage,Male,All Races,All Ages,High School,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2000,OK,Oklahoma,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,Overall,All Races,All Ages,Middle School,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
